Player,Age,Team,Pos,MIN,"eFG%","",Rim,"","Short Mid","","Long Mid","","All Mid","","Corner Three","","Non Corner","","All Three",""
"Bismack Biyombo",27.1,CHA,Big,983,40,"53.9%",82,"72%",81,"25%",34,"3%",65,"28%",0,"0%",0,"0%",0,"0%"
"Nemanja Bjelica",31.4,SAC,Big,1730,66,"58.0%",28,"33%",45,"16%",45,"4%",40,"20%",62,"8%",87,"39%",82,"47%"
"Eric Bledsoe",29.8,MIL,Point,1428,74,"53.2%",85,"42%",53,"21%",23,"9%",30,"30%",38,"4%",40,"24%",34,"28%"
"Bogdan Bogdanovic",27.2,SAC,Wing,1398,61,"53.3%",21,"16%",52,"15%",63,"12%",53,"27%",47,"11%",87,"46%",74,"57%"
"Bojan Bogdanovic",30.5,UTA,Forward,1963,69,"54.9%",27,"28%",81,"22%",49,"5%",66,"27%",69,"16%",53,"29%",64,"45%"
"Isaac Bonga",19.9,WAS,Forward,890,84,"57.6%",97,"56%",57,"18%",20,"2%",39,"19%",56,"13%",6,"12%",6,"25%"
"Devin Booker",23.0,PHX,Wing,2115,69,"54.2%",48,"27%",91,"26%",89,"19%",97,"45%",2,"3%",30,"25%",13,"28%"
"Chris Boucher",26.8,TOR,Big,628,25,"51.8%",61,"57%",12,"8%",31,"2%",12,"10%",55,"6%",67,"26%",60,"33%"
"Ky Bowman",22.3,GSW,Point,906,11,"45.7%",57,"29%",55,"21%",70,"20%",68,"41%",85,"9%",30,"22%",38,"30%"
"Avery Bradley",28.9,LAL,Combo,1083,77,"52.9%",27,"22%",23,"11%",98,"25%",68,"36%",98,"21%",16,"21%",60,"42%"
"Tony Bradley",21.8,UTA,Big,428,91,"65.7%",92,"83%",41,"15%",14,"1%",25,"16%",0,"0%",21,"1%",15,"1%"
"Mikal Bridges",23.1,PHX,Wing,1596,90,"58.5%",87,"46%",40,"12%",32,"5%",30,"18%",69,"18%",12,"18%",29,"36%"
"Miles Bridges",21.6,CHA,Forward,1815,41,"50.8%",60,"38%",80,"22%",30,"2%",53,"24%",61,"14%",30,"24%",41,"38%"
"Ryan Broekhoff",29.1,DAL,Forward,132,11,"43.2%",0,"4%",14,"6%",0,"0%",3,"6%",100,"32%",97,"57%",100,"89%"
"Malcolm Brogdon",26.8,IND,Combo,1458,42,"48.7%",79,"39%",19,"10%",95,"23%",58,"33%",11,"2%",32,"25%",18,"28%"
"Dillon Brooks",23.7,MEM,Wing,1730,20,"47.3%",40,"23%",87,"23%",86,"18%",91,"41%",8,"4%",49,"32%",30,"36%"
"Bruce Brown",23.2,DET,Combo,1523,27,"47.6%",98,"51%",87,"28%",6,"2%",52,"30%",84,"13%",2,"7%",5,"20%"
"Jaylen Brown",23.0,BOS,Wing,1686,79,"56.1%",70,"36%",79,"21%",54,"10%",73,"31%",36,"10%",25,"24%",22,"33%"
