Player,Age,Team,Pos,MIN,"FT%","","SFLD%","","FFLD%","","AND1%",""
"Ronald Murray",24.2,OKC,Combo,1976,18,"71.3%",0,"0.0%",0,"0.0%",0,""
"Dikembe Mutombo",37.3,NYK,Big,1490,41,"67.8%",0,"0.0%",0,"0.0%",0,""
"Bostjan Nachbar",23.3,HOU,Wing,447,"","66.7%",0,"0.0%",0,"0.0%",0,""
"Lee Nailon",28.6,ATL,Forward,288,"","83.3%",0,"0.0%",0,"0.0%",0,""
"Lee Nailon",28.6,CLE,Forward,363,83,"84.6%",0,"0.0%",0,"0.0%",0,""
"Eduardo Najera",27.3,DAL,Big,659,40,"67.5%",0,"0.0%",0,"0.0%",0,""
"Steve Nash",29.7,DAL,Point,2606,100,"91.6%",0,"0.0%",0,"0.0%",0,""
"Mamadou N'diaye",28.3,ATL,Big,322,53,"71.1%",0,"0.0%",0,"0.0%",0,""
"Rasho Nesterovic",27.4,SAS,Big,2343,2,"46.9%",0,"0.0%",0,"0.0%",0,""
"Ira Newble",28.7,CLE,Wing,1234,50,"78.3%",0,"0.0%",0,"0.0%",0,""
"Moochie Norris",30.2,HOU,Point,370,"","73.9%",0,"0.0%",0,"0.0%",0,""
"Moochie Norris",30.2,NYK,Point,384,63,"82.5%",0,"0.0%",0,"0.0%",0,""
"Dirk Nowitzki",25.3,DAL,Big,2909,99,"87.6%",0,"0.0%",0,"0.0%",0,""
"Lamar Odom",23.9,MIA,Forward,2997,41,"74.2%",0,"0.0%",0,"0.0%",0,""
"Mehmet Okur",24.4,DET,Big,1560,82,"77.5%",0,"0.0%",0,"0.0%",0,""
"Kevin Ollie",30.8,CLE,Point,1345,67,"82.9%",0,"0.0%",0,"0.0%",0,""
"Michael Olowokandi",28.5,MIN,Big,908,17,"58.6%",0,"0.0%",0,"0.0%",0,""
"Jermaine O'Neal",25.0,IND,Big,2769,76,"75.7%",0,"0.0%",84,"0.0%",0,""
"Shaquille O'Neal",31.6,LAL,Big,2462,4,"48.9%",0,"0.0%",0,"0.0%",0,""
"Greg Ostertag",30.6,UTA,Big,2124,16,"57.9%",0,"0.0%",0,"0.0%",0,""
"Bo Outlaw",32.5,MEM,Big,1582,9,"52.6%",0,"0.0%",0,"0.0%",0,""
"Doug Overton",34.2,LAC,Point,1000,8,"70.4%",0,"0.0%",0,"0.0%",0,""
"Zaza Pachulia",19.7,ORL,Big,605,24,"61.1%",0,"0.0%",0,"0.0%",0,""
"Robert Pack",34.7,BKN,Point,187,"","100.0%",0,"0.0%",100,"0.3%",0,""
"Scott Padgett",27.5,HOU,Big,491,"","73.9%",0,"0.0%",0,"0.0%",0,""
"Milt Palacio",25.7,TOR,Point,1182,2,"66.2%",0,"0.0%",0,"0.0%",0,""
"Jannero Pargo",24.0,CHI,Combo,321,"","84.0%",0,"0.0%",0,"0.0%",0,""
"Tony Parker",21.4,SAS,Point,2569,12,"70.6%",0,"0.0%",0,"0.0%",0,""
"Ruben Patterson",28.2,POR,Wing,1645,1,"55.6%",0,"0.0%",0,"0.0%",0,""
"Sasha Pavlovic",19.9,UTA,Wing,1082,36,"76.1%",0,"0.0%",0,"0.0%",0,""
"Gary Payton",35.2,LAL,Point,2834,13,"71.4%",0,"0.0%",0,"0.0%",0,""
"Anthony Peeler",33.9,SAC,Combo,1300,68,"82.8%",0,"0.0%",0,"0.0%",0,""
"Wesley Person",32.5,ATL,Wing,130,"","100.0%",0,"0.0%",0,"0.0%",0,""
"Wesley Person",32.5,MEM,Wing,278,"","75.0%",0,"0.0%",0,"0.0%",0,""
"Wesley Person",32.5,POR,Wing,607,"","76.0%",0,"0.0%",0,"0.0%",0,""
"Morris Peterson",26.1,TOR,Wing,2111,70,"81.1%",0,"0.0%",0,"0.0%",0,""
"Eric Piatkowski",33.0,HOU,Wing,657,"","85.7%",0,"0.0%",0,"0.0%",0,""
"Paul Pierce",26.0,BOS,Wing,3095,74,"81.9%",0,"0.0%",93,"0.0%",0,""
"Mickael Pietrus",21.7,GSW,Combo,725,6,"68.5%",0,"0.0%",0,"0.0%",0,""
"Scottie Pippen",38.0,CHI,Wing,410,5,"63.0%",0,"0.0%",0,"0.0%",0,""
"Zoran Planinic",21.1,BKN,Wing,371,6,"63.0%",0,"0.0%",0,"0.0%",0,""
"Scot Pollard",28.7,IND,Big,636,"","57.1%",0,"0.0%",0,"0.0%",0,""
"James Posey",26.7,MEM,Wing,2423,79,"83.3%",0,"0.0%",0,"0.0%",0,""
"Vitaly Potapenko",28.6,OKC,Big,1406,30,"64.4%",0,"0.0%",95,"0.0%",0,""
"Tayshaun Prince",23.6,DET,Wing,2665,43,"76.6%",0,"0.0%",0,"0.0%",0,""
"Joel Przybilla",24.0,ATL,Big,305,1,"41.4%",0,"0.0%",0,"0.0%",0,""
"Vladimir Radmanovic",22.9,OKC,Forward,2282,49,"75.2%",0,"0.0%",0,"0.0%",0,""
"Zach Randolph",22.2,POR,Big,3055,77,"76.1%",0,"0.0%",0,"0.0%",0,""
"Theo Ratliff",30.5,POR,Big,1012,27,"63.2%",0,"0.0%",0,"0.0%",0,""
"Theo Ratliff",30.5,ATL,Big,1643,33,"65.3%",0,"0.0%",93,"0.0%",0,""
"Zeljko Rebraca",31.5,DET,Big,207,80,"76.9%",0,"0.0%",100,"0.2%",0,""
"Michael Redd",24.1,MIL,Wing,3015,93,"86.8%",0,"0.0%",0,"0.0%",0,""
"Glen Rice",36.4,LAC,Wing,253,"","100.0%",0,"0.0%",0,"0.0%",0,""
"Jason Richardson",22.7,GSW,Wing,2929,14,"68.1%",0,"0.0%",0,"0.0%",0,""
"Quentin Richardson",23.5,LAC,Combo,2334,24,"74.0%",0,"0.0%",0,"0.0%",0,""
"Luke Ridnour",22.7,OKC,Point,1040,75,"83.6%",0,"0.0%",0,"0.0%",0,""
"Clifford Robinson",36.8,GSW,Big,2836,54,"71.1%",0,"0.0%",0,"0.0%",0,""
"Eddie Robinson",27.5,CHI,Wing,959,12,"66.7%",0,"0.0%",0,"0.0%",0,""
"Glenn Robinson",30.8,PHI,Forward,1340,80,"83.2%",0,"0.0%",0,"0.0%",0,""
"Rodney Rogers",32.3,BKN,Forward,1351,51,"75.5%",0,"0.0%",0,"0.0%",0,""
"Sean Rooks",34.1,ORL,Big,269,"","95.5%",0,"0.0%",0,"0.0%",0,""
"Sean Rooks",34.1,NOP,Big,306,"","80.0%",0,"0.0%",0,"0.0%",0,""
"Jalen Rose",30.7,TOR,Forward,1983,76,"82.2%",0,"0.0%",0,"0.0%",0,""
"Jalen Rose",30.7,CHI,Wing,524,42,"76.5%",0,"0.0%",0,"0.0%",0,""
"Malik Rose",28.9,SAS,Big,1176,90,"80.9%",0,"0.0%",0,"0.0%",0,""
"Michael Ruffin",26.7,UTA,Big,721,1,"41.2%",0,"0.0%",0,"0.0%",0,""
"Kareem Rush",23.0,LAL,Wing,1155,0,"55.3%",0,"0.0%",0,"0.0%",0,""
"Bryon Russell",32.8,LAL,Wing,847,40,"76.2%",0,"0.0%",0,"0.0%",0,""
"John Salmons",23.8,PHI,Forward,1538,63,"76.7%",0,"0.0%",0,"0.0%",0,""
"Jamal Sampson",20.4,LAL,Big,115,"","58.3%",0,"0.0%",0,"0.0%",0,""
"Daniel Santiago",27.3,MIL,Big,682,39,"67.4%",0,"0.0%",0,"0.0%",0,""
"Brian Scalabrine",25.6,BKN,Forward,816,73,"82.0%",0,"0.0%",0,"0.0%",0,""
"Ansu Sesay",27.2,OKC,Forward,530,17,"68.2%",0,"0.0%",0,"0.0%",0,""
"Bobby Simmons",23.4,LAC,Forward,1339,85,"84.8%",0,"0.0%",0,"0.0%",0,""
"Brian Skinner",27.4,MIL,Big,1579,14,"57.2%",0,"0.0%",0,"0.0%",0,""
"Tamar Slay",23.5,BKN,Wing,113,"","66.7%",0,"0.0%",0,"0.0%",0,""
"Jabari Smith",26.7,SAC,Big,112,"","60.0%",0,"0.0%",0,"0.0%",0,""
"Joe Smith",28.2,MIL,Big,2253,97,"86.2%",0,"0.0%",0,"0.0%",0,""
"Steven Smith",34.5,NOP,Wing,883,99,"92.2%",0,"0.0%",0,"0.0%",0,""
"Theron Smith",23.0,MEM,Wing,169,"","83.3%",0,"0.0%",0,"0.0%",0,""
"Eric Snow",30.5,PHI,Point,2960,46,"79.7%",0,"0.0%",0,"0.0%",0,""
"Darius Songaila",25.7,SAC,Big,894,86,"78.9%",0,"0.0%",0,"0.0%",0,""
"Latrell Sprewell",33.1,MIN,Wing,3090,73,"81.4%",0,"0.0%",94,"0.0%",0,""
"Jerry Stackhouse",28.9,WAS,Wing,768,64,"80.2%",0,"0.0%",0,"0.0%",0,""
"Vladimir Stepania",27.4,POR,Big,437,22,"60.0%",0,"0.0%",0,"0.0%",0,""
"DeShawn Stevenson",22.5,UTA,Wing,1502,13,"66.9%",0,"0.0%",99,"0.0%",0,""
"DeShawn Stevenson",22.5,ORL,Combo,921,9,"70.1%",0,"0.0%",0,"0.0%",0,""
"Peja Stojakovic",26.3,SAC,Wing,3262,100,"92.7%",0,"0.0%",0,"0.0%",0,""
"Damon Stoudamire",30.1,POR,Point,3115,90,"87.6%",0,"0.0%",0,"0.0%",0,""
"Amar'e Stoudemire",20.9,PHX,Big,2013,53,"71.1%",0,"0.0%",0,"0.0%",0,""
"Erick Strickland",29.9,MIL,Combo,534,94,"87.5%",0,"0.0%",0,"0.0%",0,""
"Rod Strickland",37.3,TOR,Point,283,"","68.2%",0,"0.0%",0,"0.0%",0,""
"Rod Strickland",37.3,ORL,Point,914,23,"74.3%",0,"0.0%",0,"0.0%",0,""
"Bob Sura",30.6,DET,Combo,674,21,"71.6%",0,"0.0%",0,"0.0%",0,""
"Bob Sura",30.6,ATL,Combo,932,50,"78.4%",0,"0.0%",0,"0.0%",0,""
"Michael Sweetney",21.0,NYK,Big,431,59,"72.3%",0,"0.0%",0,"0.0%",0,""
"Stromile Swift",23.9,MEM,Big,1499,58,"72.3%",0,"0.0%",0,"0.0%",0,""
"Wally Szczerbiak",26.6,MIN,Wing,586,84,"84.5%",0,"0.0%",0,"0.0%",0,""
"Maurice Taylor",27.0,HOU,Big,2053,64,"73.4%",0,"0.0%",89,"0.0%",0,""
"Jason Terry",26.1,ATL,Combo,2987,71,"82.9%",0,"0.0%",0,"0.0%",0,""
"Etan Thomas",25.5,WAS,Big,1831,28,"63.8%",0,"0.0%",89,"0.0%",0,""
"Kenny Thomas",26.2,PHI,Big,2692,70,"75.2%",0,"0.0%",0,"0.0%",0,""
"Kurt Thomas",31.0,NYK,Big,2538,94,"83.5%",0,"0.0%",0,"0.0%",0,""
"Tim Thomas",26.6,NYK,Wing,737,66,"80.4%",0,"0.0%",0,"0.0%",0,""
"Tim Thomas",26.6,MIL,Forward,1340,61,"76.2%",0,"0.0%",0,"0.0%",0,""
"Jamaal Tinsley",25.6,IND,Point,1362,19,"73.1%",0,"0.0%",0,"0.0%",0,""
"Robert Traylor",26.7,NOP,Big,899,12,"54.8%",0,"0.0%",0,"0.0%",0,""
"Gary Trent",29.1,MIN,Big,984,69,"74.7%",0,"0.0%",0,"0.0%",0,""
"Jake Tsakalidis",24.3,MEM,Big,521,19,"59.0%",0,"0.0%",98,"0.1%",0,""
"Nikoloz Tskitishvili",20.5,DEN,Big,212,"","81.8%",0,"0.0%",0,"0.0%",0,""
"Hedo Turkoglu",24.6,SAS,Wing,2023,16,"70.1%",0,"0.0%",0,"0.0%",0,""
"Nick Van Exel",31.9,GSW,Combo,1254,15,"70.7%",0,"0.0%",0,"0.0%",0,""
"Keith Van Horn",28.0,NYK,Forward,1572,71,"81.9%",0,"0.0%",0,"0.0%",0,""
"Keith Van Horn",28.0,MIL,Forward,765,100,"94.5%",0,"0.0%",0,"0.0%",0,""
"Jacque Vaughn",28.7,ATL,Point,1220,42,"78.8%",0,"0.0%",98,"0.0%",0,""
"Jake Voskuhl",25.9,PHX,Big,1591,64,"73.7%",0,"0.0%",92,"0.0%",0,""
"Dwyane Wade",21.7,MIA,Combo,2121,32,"74.7%",0,"0.0%",0,"0.0%",0,""
"Dajuan Wagner",20.7,CLE,Combo,660,12,"70.5%",0,"0.0%",0,"0.0%",0,""
"Antoine Walker",27.2,DAL,Forward,2832,2,"55.4%",0,"0.0%",0,"0.0%",0,""
"Samaki Walker",27.6,MIA,Big,403,30,"64.3%",0,"0.0%",0,"0.0%",0,""
"Ben Wallace",29.1,DET,Big,3049,5,"49.0%",0,"0.0%",0,"0.0%",0,""
"Gerald Wallace",21.2,SAC,Wing,311,"","45.5%",0,"0.0%",0,"0.0%",0,""
"John Wallace",29.7,MIA,Wing,320,71,"81.2%",0,"0.0%",0,"0.0%",0,""
"Rasheed Wallace",29.1,POR,Forward,1674,39,"74.2%",0,"0.0%",0,"0.0%",0,""
"Rasheed Wallace",29.1,DET,Big,672,50,"70.4%",0,"0.0%",0,"0.0%",0,""
"Luke Walton",23.5,LAL,Big,618,76,"75.8%",0,"0.0%",0,"0.0%",0,""
"Charlie Ward",33.0,SAS,Point,373,"","75.0%",0,"0.0%",0,"0.0%",0,""
"Charlie Ward",33.0,NYK,Combo,808,"","73.7%",0,"0.0%",0,"0.0%",0,""
"Earl Watson",24.3,MEM,Point,1636,0,"65.2%",0,"0.0%",0,"0.0%",0,""
"Clarence Weatherspoon",33.1,NYK,Big,208,"","94.7%",0,"0.0%",0,"0.0%",0,""
"Clarence Weatherspoon",33.1,HOU,Big,632,36,"66.0%",0,"0.0%",0,"0.0%",0,""
"Chris Webber",30.6,SAC,Big,832,51,"70.5%",0,"0.0%",0,"0.0%",0,""
"Bonzi Wells",27.0,MEM,Wing,1445,33,"75.5%",0,"0.0%",0,"0.0%",0,""
"Bonzi Wells",27.0,POR,Wing,402,49,"77.8%",0,"0.0%",0,"0.0%",0,""
"Jiri Welsch",23.7,BOS,Wing,2153,28,"74.0%",0,"0.0%",0,"0.0%",0,""
"David Wesley",32.9,NOP,Wing,1997,34,"75.6%",0,"0.0%",0,"0.0%",0,""
"David West",23.1,NOP,Big,886,60,"72.4%",0,"0.0%",0,"0.0%",0,""
"Jahidi White",27.6,PHX,Big,862,7,"50.0%",0,"0.0%",0,"0.0%",0,""
"Rodney White",23.3,DEN,Forward,917,54,"76.0%",0,"0.0%",0,"0.0%",0,""
"Chris Whitney",32.0,WAS,Point,178,"","100.0%",0,"0.0%",0,"0.0%",0,""
"Chris Wilcox",21.1,LAC,Big,1326,50,"70.0%",0,"0.0%",0,"0.0%",0,""
"Mike Wilks",24.4,HOU,Combo,106,"","66.7%",0,"0.0%",0,"0.0%",0,""
"Aaron Williams",32.0,BKN,Big,1255,39,"67.4%",0,"0.0%",0,"0.0%",0,""
"Alvin Williams",29.2,TOR,Point,1728,35,"77.6%",0,"0.0%",0,"0.0%",0,""
"Eric Williams",31.2,CLE,Wing,1371,56,"78.7%",0,"0.0%",0,"0.0%",0,""
"Eric Williams",31.2,BOS,Forward,508,29,"71.6%",0,"0.0%",0,"0.0%",0,""
"Frank Williams",23.6,NYK,Combo,668,85,"85.4%",0,"0.0%",0,"0.0%",0,""
"Jason Williams",27.9,MEM,Point,2104,79,"83.7%",0,"0.0%",0,"0.0%",0,""
"Jerome Williams",30.4,TOR,Big,398,61,"72.4%",0,"0.0%",99,"0.1%",0,""
"Jerome Williams",30.4,CHI,Forward,1204,15,"66.9%",0,"0.0%",0,"0.0%",0,""
"Mo Williams",20.8,UTA,Combo,713,47,"77.8%",0,"0.0%",0,"0.0%",0,""
"Scott Williams",35.6,PHX,Big,270,"","69.2%",0,"0.0%",0,"0.0%",0,""
"Scott Williams",35.6,DAL,Big,248,"","50.0%",0,"0.0%",0,"0.0%",0,""
"Shammond Williams",28.5,ORL,Combo,486,91,"86.8%",0,"0.0%",0,"0.0%",0,""
"Shammond Williams",28.5,NOP,Point,237,"","81.8%",0,"0.0%",0,"0.0%",0,""
"Corliss Williamson",29.9,DET,Forward,1545,32,"73.3%",0,"0.0%",0,"0.0%",0,""
"Kevin Willis",41.1,SAS,Big,275,16,"58.1%",0,"0.0%",0,"0.0%",0,""
"Loren Woods",25.3,MIA,Big,473,13,"55.1%",0,"0.0%",0,"0.0%",0,""
"Qyntel Woods",22.7,POR,Wing,628,8,"63.8%",0,"0.0%",0,"0.0%",0,""
"Metta World Peace",23.9,IND,Wing,2699,24,"73.3%",0,"0.0%",100,"0.0%",0,""
"Lorenzen Wright",27.9,MEM,Big,1653,62,"72.9%",0,"0.0%",0,"0.0%",0,""
