Player,Age,Team,Pos,MIN,"BLK%","","STL%","","FOUL%","","fgOR%","","fgDR%","","ftOR%","","ftDR%",""
"Khem Birch",27.0,ORL,Big,731,39,"1.5%",28,"0.9%",57,"3.8%",62,"8.9%",24,"14.4%",0,"0.0%",26,"20.6%"
"Goga Bitadze",20.2,IND,Big,328,88,"3.6%",2,"0.3%",13,"6.0%",33,"5.6%",29,"14.7%",0,"0.0%",8,"11.5%"
"Bismack Biyombo",27.1,CHA,Big,961,70,"2.4%",8,"0.5%",35,"4.5%",90,"12.1%",44,"16.9%",47,"1.6%",67,"35.6%"
"Nemanja Bjelica",31.4,SAC,Big,1676,24,"1.0%",68,"1.3%",38,"4.4%",34,"5.6%",42,"16.6%",71,"4.3%",48,"28.2%"
"Eric Bledsoe",29.8,MIL,Point,1385,96,"0.9%",35,"1.3%",59,"2.7%",67,"2.9%",80,"12.5%",74,"1.0%",93,"14.5%"
"Bogdan Bogdanovic",27.2,SAC,Wing,1339,26,"0.4%",62,"1.5%",51,"3.1%",21,"1.3%",49,"10.3%",0,"0.0%",57,"8.3%"
"Bojan Bogdanovic",30.5,UTA,Forward,1929,3,"0.2%",12,"0.8%",93,"2.1%",19,"2.0%",13,"9.5%",48,"0.9%",60,"23.0%"
"Isaac Bonga",19.9,WAS,Forward,859,72,"1.1%",60,"1.4%",3,"5.7%",91,"5.8%",43,"12.3%",88,"4.5%",64,"24.4%"
"Devin Booker",23.0,PHX,Wing,2077,22,"0.3%",15,"0.8%",72,"2.7%",22,"1.3%",47,"10.2%",0,"0.0%",54,"7.6%"
"Chris Boucher",26.8,TOR,Big,592,89,"3.8%",44,"1.1%",16,"5.9%",91,"12.5%",48,"17.2%",0,"0.0%",53,"29.7%"
"Ky Bowman",22.3,GSW,Point,906,50,"0.5%",76,"2.0%",13,"4.2%",59,"2.4%",46,"9.7%",0,"0.0%",0,"0.0%"
"Avery Bradley",28.9,LAL,Combo,1025,11,"0.2%",59,"1.5%",21,"3.9%",34,"1.7%",11,"8.0%",75,"1.3%",25,"1.8%"
"Tony Bradley",21.8,UTA,Big,413,60,"2.0%",31,"0.9%",4,"7.0%",99,"16.2%",69,"20.4%",95,"10.5%",94,"53.6%"
"Mikal Bridges",23.1,PHX,Wing,1560,83,"1.2%",95,"2.4%",38,"3.5%",79,"3.5%",56,"11.3%",69,"1.4%",65,"10.4%"
"Miles Bridges",21.6,CHA,Forward,1748,82,"1.2%",18,"0.9%",76,"2.7%",76,"4.3%",49,"12.7%",67,"2.0%",70,"26.8%"
"Ryan Broekhoff",29.1,DAL,Forward,132,94,"1.5%",22,"0.9%",15,"4.4%",40,"2.8%",99,"20.3%",0,"0.0%",96,"40.0%"
"Malcolm Brogdon",26.8,IND,Combo,1423,30,"0.3%",20,"1.0%",87,"2.3%",75,"3.1%",77,"12.6%",0,"0.0%",34,"3.0%"
"Dillon Brooks",23.7,MEM,Wing,1706,59,"0.7%",53,"1.3%",6,"5.1%",78,"3.3%",19,"7.8%",70,"1.4%",37,"4.7%"
"Bruce Brown",23.2,DET,Combo,1523,87,"1.0%",69,"1.7%",15,"4.1%",89,"3.9%",84,"13.3%",74,"1.2%",80,"8.8%"
"Jaylen Brown",23.0,BOS,Wing,1652,39,"0.5%",58,"1.4%",39,"3.4%",74,"3.1%",91,"14.8%",88,"2.9%",78,"17.0%"
"Sterling Brown",24.7,MIL,Wing,503,38,"0.5%",57,"1.4%",71,"2.7%",80,"3.6%",97,"18.6%",99,"10.6%",88,"25.0%"
"Troy Brown",20.2,WAS,Wing,1293,10,"0.2%",91,"2.0%",60,"3.0%",83,"3.9%",94,"16.5%",85,"2.5%",87,"24.0%"
"Jalen Brunson",23.1,DAL,Point,954,20,"0.2%",9,"0.9%",61,"2.6%",54,"2.3%",54,"10.5%",0,"0.0%",59,"4.0%"
"Thomas Bryant",22.2,WAS,Big,795,49,"1.7%",11,"0.6%",79,"3.0%",58,"8.6%",66,"20.1%",0,"0.0%",39,"25.6%"
"Reggie Bullock",28.6,NYK,Wing,611,4,"0.1%",76,"1.8%",34,"3.6%",39,"1.9%",12,"7.0%",86,"2.6%",71,"11.9%"
"Trey Burke",26.9,PHI,Point,273,15,"0.2%",13,"1.0%",63,"2.6%",96,"4.6%",17,"7.4%",100,"7.7%",0,"0.0%"
"Alec Burks",28.2,PHI,Combo,117,0,"0.0%",57,"1.5%",54,"3.0%",21,"1.5%",59,"10.7%",0,"0.0%",97,"16.7%"
"Alec Burks",28.2,GSW,Wing,1368,45,"0.6%",64,"1.5%",54,"3.1%",60,"2.6%",83,"13.6%",77,"1.8%",61,"9.2%"
"Deonte Burton",25.7,OKC,Forward,219,99,"2.0%",1,"0.4%",16,"4.3%",10,"1.8%",34,"11.4%",0,"0.0%",39,"14.3%"
"Jimmy Butler",30.1,MIA,Wing,1702,72,"0.9%",92,"2.2%",100,"1.3%",97,"5.8%",90,"14.7%",64,"1.0%",19,"1.0%"
"Bruno Caboclo",24.1,MEM,Big,150,93,"4.1%",94,"2.2%",34,"4.6%",74,"10.1%",27,"14.6%",0,"0.0%",49,"28.6%"
"Kentavious Caldwell-Pope",26.6,LAL,Wing,1449,24,"0.3%",61,"1.5%",64,"2.9%",52,"2.3%",6,"5.7%",92,"3.2%",27,"3.0%"
"Clint Capela",25.4,HOU,Big,1265,77,"2.6%",46,"1.1%",79,"3.0%",92,"12.6%",92,"26.0%",0,"0.0%",62,"33.3%"
"DeMarre Carroll",33.2,SAS,Forward,105,66,"1.0%",15,"0.8%",13,"4.5%",94,"6.2%",97,"18.9%",0,"0.0%",39,"14.3%"
"Jevon Carter",24.1,PHX,Combo,595,69,"0.7%",93,"2.4%",8,"4.3%",77,"3.1%",49,"9.5%",0,"0.0%",93,"13.5%"
"Vince Carter",42.7,ATL,Big,758,47,"1.7%",55,"1.2%",50,"3.9%",3,"1.8%",6,"10.6%",55,"2.6%",60,"32.2%"
"Wendell Carter",20.5,CHI,Big,1125,46,"1.6%",53,"1.1%",32,"4.7%",83,"11.4%",81,"21.6%",0,"0.0%",40,"25.8%"
"Michael Carter-Williams",28.0,ORL,Combo,647,95,"1.4%",100,"2.5%",18,"4.1%",100,"5.3%",85,"13.4%",0,"0.0%",92,"12.1%"
"Alex Caruso",25.6,LAL,Combo,926,85,"0.8%",95,"2.5%",34,"3.5%",16,"1.3%",33,"8.8%",95,"2.4%",70,"7.8%"
"Willie Cauley-Stein",26.2,GSW,Big,918,80,"2.7%",93,"2.2%",36,"4.5%",46,"7.3%",57,"18.4%",56,"2.7%",69,"36.4%"
"Tyson Chandler",37.0,HOU,Big,219,54,"1.8%",47,"1.1%",24,"5.2%",78,"10.5%",54,"18.0%",0,"0.0%",3,"6.7%"
"Wilson Chandler",32.4,BKN,Big,621,23,"0.9%",42,"1.0%",42,"4.2%",3,"1.8%",39,"16.4%",66,"3.7%",29,"22.0%"
"Chris Chiozza",23.9,WAS,Point,102,100,"1.1%",93,"3.0%",0,"5.1%",0,"0.0%",83,"13.1%",0,"0.0%",0,"0.0%"
"Marquese Chriss",22.3,GSW,Big,989,79,"2.7%",78,"1.4%",56,"3.8%",64,"9.1%",60,"18.9%",76,"5.4%",94,"54.9%"
"Gary Clark",24.9,HOU,Big,185,56,"1.9%",7,"0.5%",44,"4.2%",32,"5.6%",12,"12.5%",0,"0.0%",15,"16.7%"
"Gary Clark",24.9,ORL,Wing,157,96,"1.9%",3,"0.5%",92,"2.1%",100,"7.4%",77,"12.7%",0,"0.0%",0,"0.0%"
"Brandon Clarke",23.1,MEM,Big,1044,59,"2.0%",45,"1.1%",83,"2.9%",46,"7.0%",53,"17.8%",71,"4.2%",22,"19.7%"
"Jordan Clarkson",27.4,CLE,Wing,654,51,"0.6%",31,"1.1%",96,"2.0%",76,"3.2%",13,"7.4%",0,"0.0%",25,"2.8%"
"Jordan Clarkson",27.4,UTA,Wing,723,36,"0.5%",50,"1.3%",73,"2.6%",77,"3.3%",26,"8.7%",0,"0.0%",26,"2.9%"
"Nicolas Claxton",20.5,BKN,Big,157,51,"1.7%",3,"0.3%",97,"2.2%",65,"9.1%",2,"9.8%",99,"22.2%",5,"10.0%"
"Chris Clemons",22.2,HOU,Combo,175,82,"0.8%",39,"1.2%",43,"3.2%",8,"1.0%",25,"8.5%",0,"0.0%",0,"0.0%"
