Player,Age,Team,Pos,MIN,Usage,"",PSA,"","AST%","","AST:Usg","","TOV%",""
"Zeljko Rebraca",31.5,DET,Big,207,62,"16.9%",31,98.4,12,"3.7%",8,0.22,17,"17.7%"
"Michael Redd",24.1,MIL,Wing,3015,85,"24.4%",81,108.8,43,"11.3%",9,0.46,97,"7.1%"
"Glen Rice",36.4,LAC,Wing,253,41,"17.7%",5,79.5,65,"14.6%",75,0.82,47,"13.0%"
"Jason Richardson",22.7,GSW,Wing,2929,87,"24.8%",53,101.2,61,"14.3%",30,0.58,60,"12.2%"
"Quentin Richardson",23.5,LAC,Combo,2334,64,"23.0%",38,97.4,13,"10.8%",4,0.47,78,"11.4%"
"Luke Ridnour",22.7,OKC,Point,1040,61,"21.4%",39,99.4,45,"27.0%",37,1.26,37,"15.8%"
"Clifford Robinson",36.8,GSW,Big,2836,81,"19.6%",23,94.7,96,"16.0%",93,0.81,58,"14.2%"
"Eddie Robinson",27.5,CHI,Wing,959,25,"15.3%",49,100.6,21,"9.3%",40,0.61,58,"12.3%"
"Glenn Robinson",30.8,PHI,Forward,1340,96,"24.3%",59,104.3,30,"8.5%",11,0.35,30,"15.0%"
"Rodney Rogers",32.3,BKN,Forward,1351,61,"21.4%",30,98.1,91,"17.3%",85,0.81,22,"15.3%"
"Sean Rooks",34.1,ORL,Big,269,12,"11.7%",14,91.0,71,"9.1%",91,0.77,96,"9.6%"
"Sean Rooks",34.1,NOP,Big,306,32,"14.2%",5,81.3,34,"5.4%",39,0.38,65,"13.7%"
"Jalen Rose",30.7,TOR,Forward,1983,100,"25.8%",33,98.2,100,"24.6%",93,0.95,15,"16.0%"
"Jalen Rose",30.7,CHI,Wing,524,77,"22.4%",30,96.4,85,"19.7%",82,0.88,33,"14.0%"
"Malik Rose",28.9,SAS,Big,1176,88,"21.5%",60,104.4,80,"10.0%",58,0.47,14,"18.7%"
"Michael Ruffin",26.7,UTA,Big,721,13,"11.8%",1,67.7,74,"9.3%",91,0.79,6,"21.8%"
"Kareem Rush",23.0,LAL,Wing,1155,32,"16.4%",44,99.5,12,"8.3%",20,0.51,83,"10.3%"
"Bryon Russell",32.8,LAL,Wing,847,16,"14.6%",57,102.9,46,"11.5%",68,0.79,56,"12.5%"
"John Salmons",23.8,PHI,Forward,1538,28,"16.3%",28,97.3,85,"15.4%",91,0.94,43,"14.3%"
"Jamal Sampson",20.4,LAL,Big,115,17,"12.4%",17,92.6,60,"7.8%",79,0.63,14,"18.5%"
"Daniel Santiago",27.3,MIL,Big,682,29,"13.9%",73,107.9,30,"5.2%",36,0.37,43,"15.2%"
"Brian Scalabrine",25.6,BKN,Forward,816,15,"14.9%",24,96.8,72,"11.9%",83,0.80,46,"14.3%"
"Ansu Sesay",27.2,OKC,Forward,530,24,"15.6%",65,104.7,4,"4.9%",7,0.32,74,"12.9%"
"Bobby Simmons",23.4,LAC,Forward,1339,30,"16.7%",26,97.2,74,"12.0%",76,0.72,63,"13.5%"
"Brian Skinner",27.4,MIL,Big,1579,66,"17.4%",48,102.3,24,"5.0%",19,0.29,70,"13.0%"
"Tamar Slay",23.5,BKN,Wing,113,72,"21.5%",8,86.4,83,"18.2%",77,0.84,15,"15.5%"
"Jabari Smith",26.7,SAC,Big,112,79,"19.1%",2,73.9,91,"12.5%",82,0.65,100,"6.1%"
"Joe Smith",28.2,MIL,Big,2253,58,"16.6%",47,101.6,38,"5.6%",29,0.34,96,"9.8%"
"Steven Smith",34.5,NOP,Wing,883,37,"17.5%",77,108.1,44,"11.3%",48,0.64,73,"11.3%"
"Theron Smith",23.0,MEM,Wing,169,18,"14.6%",46,100.0,5,"6.9%",11,0.47,0,"25.9%"
"Eric Snow",30.5,PHI,Point,2960,39,"19.7%",40,99.9,66,"32.3%",81,1.64,47,"14.9%"
"Darius Songaila",25.7,SAC,Big,894,44,"15.2%",58,104.2,57,"7.6%",62,0.50,79,"12.3%"
"Latrell Sprewell",33.1,MIN,Wing,3090,79,"22.9%",40,99.1,68,"15.1%",51,0.66,81,"10.5%"
"Jerry Stackhouse",28.9,WAS,Wing,768,91,"26.4%",36,98.6,94,"24.1%",85,0.91,3,"18.3%"
"Vladimir Stepania",27.4,POR,Big,437,27,"13.7%",12,89.3,64,"8.1%",76,0.59,59,"14.2%"
"DeShawn Stevenson",22.5,UTA,Wing,1502,65,"20.7%",29,95.8,39,"11.1%",22,0.53,65,"12.0%"
"DeShawn Stevenson",22.5,ORL,Combo,921,18,"17.4%",22,92.3,18,"11.9%",16,0.68,84,"11.0%"
"Peja Stojakovic",26.3,SAC,Wing,3262,70,"21.5%",98,125.9,20,"9.0%",5,0.42,84,"9.9%"
"Damon Stoudamire",30.1,POR,Point,3115,58,"21.3%",63,102.7,44,"26.9%",39,1.26,66,"12.8%"
"Amar'e Stoudemire",20.9,PHX,Big,2013,98,"26.1%",72,107.7,50,"7.0%",16,0.27,44,"15.1%"
"Erick Strickland",29.9,MIL,Combo,534,58,"22.7%",73,106.5,71,"23.8%",67,1.05,9,"18.2%"
"Rod Strickland",37.3,TOR,Point,283,79,"24.1%",3,74.7,87,"36.6%",68,1.52,61,"13.1%"
"Rod Strickland",37.3,ORL,Point,914,60,"21.4%",56,102.3,63,"31.5%",63,1.48,44,"15.3%"
"Bob Sura",30.6,DET,Combo,674,31,"18.2%",33,96.4,60,"22.8%",91,1.25,38,"14.4%"
"Bob Sura",30.6,ATL,Combo,932,60,"22.9%",64,104.1,78,"25.4%",73,1.11,49,"13.8%"
"Michael Sweetney",21.0,NYK,Big,431,53,"16.1%",86,111.9,22,"4.6%",19,0.28,21,"17.3%"
"Stromile Swift",23.9,MEM,Big,1499,83,"20.1%",66,106.0,17,"4.2%",7,0.21,75,"12.6%"
"Wally Szczerbiak",26.6,MIN,Wing,586,57,"20.1%",68,106.0,29,"10.0%",16,0.50,88,"9.5%"
"Maurice Taylor",27.0,HOU,Big,2053,90,"22.0%",52,102.8,84,"10.4%",59,0.47,36,"15.9%"
"Jason Terry",26.1,ATL,Combo,2987,78,"24.6%",62,103.3,82,"26.3%",69,1.07,44,"14.0%"
"Etan Thomas",25.5,WAS,Big,1831,60,"16.6%",68,106.2,45,"6.4%",44,0.38,34,"16.1%"
"Kenny Thomas",26.2,PHI,Big,2692,75,"18.5%",66,105.8,58,"7.7%",52,0.42,32,"16.1%"
"Kurt Thomas",31.0,NYK,Big,2538,65,"17.2%",38,100.0,80,"9.8%",75,0.57,61,"14.1%"
"Tim Thomas",26.6,NYK,Wing,737,78,"22.5%",85,109.8,9,"7.8%",2,0.35,66,"11.9%"
"Tim Thomas",26.6,MIL,Forward,1340,52,"20.5%",67,104.7,57,"11.5%",59,0.56,85,"12.1%"
"Jamaal Tinsley",25.6,IND,Point,1362,55,"21.1%",94,107.7,81,"35.8%",90,1.70,23,"17.7%"
"Robert Traylor",26.7,NOP,Big,899,74,"18.3%",65,105.6,62,"7.9%",57,0.43,32,"16.3%"
"Gary Trent",29.1,MIN,Big,984,68,"17.5%",63,105.3,63,"8.1%",58,0.46,57,"14.3%"
"Jake Tsakalidis",24.3,MEM,Big,521,33,"14.4%",57,103.8,37,"5.5%",46,0.39,68,"13.3%"
"Nikoloz Tskitishvili",20.5,DEN,Big,212,78,"19.1%",2,70.8,40,"5.8%",23,0.30,73,"12.8%"
"Hedo Turkoglu",24.6,SAS,Wing,2023,44,"17.8%",61,103.7,54,"12.4%",53,0.70,63,"12.0%"
"Nick Van Exel",31.9,GSW,Combo,1254,76,"24.5%",29,93.8,89,"28.1%",80,1.15,76,"11.5%"
"Keith Van Horn",28.0,NYK,Forward,1572,83,"23.0%",83,109.4,41,"9.4%",22,0.41,28,"15.1%"
"Keith Van Horn",28.0,MIL,Forward,765,59,"21.1%",98,118.4,33,"8.5%",17,0.40,50,"14.2%"
"Jacque Vaughn",28.7,ATL,Point,1220,8,"16.5%",29,91.3,29,"25.2%",69,1.52,16,"18.6%"
"Jake Voskuhl",25.9,PHX,Big,1591,16,"12.2%",93,115.3,32,"5.3%",57,0.44,16,"17.8%"
"Dwyane Wade",21.7,MIA,Combo,2121,87,"26.0%",78,107.2,73,"24.1%",49,0.93,24,"16.6%"
"Dajuan Wagner",20.7,CLE,Combo,660,62,"23.0%",13,89.5,20,"12.4%",11,0.54,71,"11.8%"
"Antoine Walker",27.2,DAL,Forward,2832,80,"22.6%",20,95.6,93,"19.5%",89,0.86,59,"13.8%"
"Samaki Walker",27.6,MIA,Big,403,35,"14.5%",9,88.0,7,"3.0%",7,0.21,80,"12.0%"
"Ben Wallace",29.1,DET,Big,3049,38,"14.7%",10,88.4,55,"7.4%",63,0.50,78,"12.4%"
"Gerald Wallace",21.2,SAC,Wing,311,11,"13.8%",5,74.7,27,"9.7%",54,0.70,99,"6.1%"
"John Wallace",29.7,MIA,Wing,320,81,"23.2%",43,99.3,5,"6.8%",0,0.29,59,"12.3%"
"Rasheed Wallace",29.1,POR,Forward,1674,72,"21.8%",54,103.9,67,"11.7%",48,0.54,89,"11.0%"
"Rasheed Wallace",29.1,DET,Big,672,89,"21.7%",34,98.7,88,"11.0%",65,0.51,97,"9.3%"
